Lecture Translator Speech translation framework	1
the PLuTO project	1
A distributed cloud-based dialog system	1
Lexical Networks	1
Depth-bounded PCFG	1
Advanced Human-Computer Interface and Voice Processing Applications	1
The UMUS System	1
The Character-based CRF Segmenter	1
character-based word embeddings	1
A constraint-based implementation	1
A SNoW Based Supertagger	1
An Efficient Compiler	1
Interpolated Deep Neural Networks	1
CRFs and Perceptrons Meet Neural Networks	1
Syntactic Frames and LSA	1
AUT Document Alignment Framework	1
An Open Source Tool	1
A Processing Platform Relating Data and Tools	1
Biomedical Knowledge Graph Embeddings	1
Nested NER	1
the NLG Pipeline Architecture	1
Comparative Parser Performance Analysis across Grammar Frameworks	1
Statistical-based System	1
An English Japanese Machine Translation System	1
Idiap NMT System	1
the Argument Workbench	1
Character N-gram Embeddings	1
Wikipedias Category System	1
the NBU PLT Platform	1
Read Linear Learning Framework	1
an MP3 Player	1
a Meta Question Answering System	1
Neural Dialogue Systems	1
A Gated Self-attention Memory Network	1
Deep Convolution Recurrent Neural Network	1
Feature-Rich Networks	1
The CASS Technique	1
GermaNet a Lexical-Semantic Net	1
Montreal Neural Machine Translation Systems	1
An Ariane-G5 Compatible Rnvironment	1
use ISOcat RELcat and SCHEMAcat	1
Parallel Data Tools and Interfaces	1
A Comprehensive NLP System	1
Memory Augmented Neural Networks	1
A Dialog-based Platform	1
a Deep Parser	1
A Hybrid Markov/Semi-Markov Conditional Random Field	1
VTEX Determiner and Preposition Correction System	1
Adaptive Transformers	1
Dynamic Programming and POS Tag Lattice	1
A Grammar Checking System	1
a Monte-Carlo Framework	1
The Open Wordnet	1
Precursor-Induced CRF	1
Two Mobile Spoken Language Systems	1
A CRF Method	1
the Context Feature Structure System	1
Fine-tuned Word Embeddings	1
A Chinese Automatic Text Summarization system	1
Semantic Framework	1
A Conditional Random Field Word Segmenter	1
An Automatic Speech Recognition System	1
Cross-Lingual Information Retrieval System	1
Soft-Label Chain Conditional Random Field	1
a Map Task Dialogue System	1
MACAON An NLP Tool Suite	1
SMT helping SMT	1
Multi-Task Networks	1
A Transition-Based Dependency Parser	1
Error-driven HMM-based Chunk Tagger	1
A Web Interface	1
Memory-enhanced Decoder	1
A structure-enhanced graph convolutional network	1
German Light Verb Constructions (LVCs) Combining Lexicalized Tree Adjoining Grammar (LTAG)	1
Attentive Neural Networks	1
A confidence-based framework	1
Lexicalised TAG	1
A Domain-Adaptable System	1
an AI-assisted Lyrics Creation System	1
Manner Relations and its Applications	1
A Dependency-Based Parser	1
A Stack-Propagation Framework	1
a Neural Event Classifier and an Explanation Decoder	1
Vietnamese Person Named Entity Question Answering System	1
Generalized Discrimination Networks	1
Sequence-to-Sequence Neural Networks	1
Supervised Bigram-based ILP	1
VarDial 2017	1
the NAMIC Approach	1
BERT-Based Method	1
Unsupervised TSG	1
An Efficient Statistical Speech Act Type Tagging System	1
an attention-RNN	1
A Neural Expectation-Maximization Framework	1
an Existing Syntactic Parser	1
An Interactive Rewriting Tool	1
Natural Language Database Interface	1
The ISL Phrase-Based MT System	1
A Statistical Parsing Framework	1
A Flexible Natural Language Parser	1
A Multi-Platform Annotation Ecosystem	1
Character-Level LSTM Language Models	1
An EM Algorithm	1
Dual-Source Transformer	1
Improved Word Embeddings	1
A Generic Collaborative Platform	1
The Microsoft Toolkit	1
FST Morphology	1
Structured SVMs and RNNs	1
A Snack Implementation and Tcl/Tk Interface	1
Tensor Fusion Network	1
A Knowledgeable Path Generator	1
REST API based NLG Microservice	1
OPPOs Machine Translation System	1
Achieve an Accurate Real-Time Large-Vocabulary Speech Recognition System	1
A Language Detection System	1
Data Query Language and Corpus Tools	1
SPOKESMAN	1
A Maximum Entropy Classifier	1
a Natural Language Generation System	1
Siamese Convolutional Networks	1
Adaptive Recursive Neural Network	1
Japanese and American Sign Language Dictionary System	1
Latent Structured Alignments and Abstract Programs	1
Non-Task-Oriented Conversational Systems	1
Earnings Call Transcript Embeddings	1
EuroWordNet	1
XTAG	1
An efficient and user-friendly tool	1
An open source corpus indexer and search engine	1
A Modular Toolkit	1
Many-to-one Phrase-based SMT	1
a Machine Learnable Discourse Tagging Tool	1
TFG	1
SVM and CRF	1
Natural Language Processing (SecureNLP)	1
MaltParser	1
A Stacked BiLSTM Architecture	1
Typed Decoders	1
A VSM-based Statistical Model	1
a Tailored PCFG Parser	1
an open-source framework	1
a Node-Graph Architecture	1
An Open Distributed Architecture	1
FOLK	1
An alternative LR algorithm	1
Root-Word Based Recurrent Neural Networks and Deep Neural Networks	1
Eunomos a Tool	1
experiments results and applications	1
Metaphor Processing Systems	1
Dialogue Based Intelligent Tutoring Systems	1
Graph based Neural Networks	1
A Paradigm-Based Finite State Morphological Analyzer	1
a Multiparty Virtual Chat Agent	1
Re-Usable Tools	1
An LR Category-Neutral Parser	1
the Jena ANnotation Environment (JANE)	1
the DOBES project	1
Hierarchical Convolutional Neural Networks	1
Embedding	1
Error Correction Tools	1
a Supersense Sequence Tagger	1
a Rule-based Spanish Part-of-Speech Tagger	1
Cabinet Protocols	1
Knowledge-Powered Word Embedding	1
Speech Processing Applications	1
